Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,6.178332805633545,6.25333309173584,5.798333168029785,6.013332843780518,5.5201616287231445,115482000
2007-01-04,5.991666793823242,6.013332843780518,5.8383331298828125,5.985000133514404,5.494152545928955,79729800
2007-01-05,5.843332767486572,5.866666793823242,5.570000171661377,5.610000133514404,5.149906635284424,124334400
2007-01-08,5.630000114440918,5.760000228881836,5.533332824707031,5.65166711807251,5.188156604766846,65727000
2007-01-09,5.659999847412109,5.698332786560059,5.534999847412109,5.5416669845581055,5.0871782302856445,76416600
2007-01-10,5.483333110809326,5.866666793823242,5.400000095367432,5.815000057220459,5.338094711303711,110874600
2007-01-11,5.815000057220459,5.860000133514404,5.698332786560059,5.793333053588867,5.3182053565979,92450400
2007-01-12,5.706666946411133,5.894999980926514,5.679999828338623,5.87166690826416,5.390115261077881,69819000
2007-01-16,5.9166669845581055,5.920000076293945,5.815000057220459,5.881667137145996,5.399293422698975,71186400
2007-01-17,5.800000190734863,5.835000038146973,5.736667156219482,5.758333206176758,5.286075592041016,70793400
2007-01-18,5.7083330154418945,5.7083330154418945,5.210000038146973,5.281667232513428,4.848501682281494,150163800
2007-01-19,5.224999904632568,5.423333168029785,5.188333034515381,5.313333034515381,4.877570152282715,94260600
2007-01-22,5.363333225250244,5.449999809265137,5.293333053588867,5.313333034515381,4.877570152282715,73064400
2007-01-23,5.288332939147949,5.400000095367432,5.190000057220459,5.315000057220459,4.879101276397705,63035400
2007-01-24,5.383333206176758,5.551667213439941,5.358333110809326,5.480000019073486,5.030569076538086,68572200
2007-01-25,5.53000020980835,5.550000190734863,5.261666774749756,5.288332939147949,4.854620933532715,61628400
2007-01-26,5.3333330154418945,5.385000228881836,5.150000095367432,5.244999885559082,4.814842224121094,82958400
2007-01-29,5.2216668128967285,5.224999904632568,4.985000133514404,5.03000020980835,4.61747407913208,125828400
2007-01-30,5.063333034515381,5.159999847412109,5.0183329582214355,5.126667022705078,4.706214904785156,63617400
2007-01-31,5.1016669273376465,5.156667232513428,5.038332939147949,5.108333110809326,4.689383029937744,46797600
2007-02-01,5.059999942779541,5.199999809265137,5.050000190734863,5.173333168029785,4.749053001403809,65089800
2007-02-02,5.201666831970215,5.3333330154418945,5.158332824707031,5.308332920074463,4.87298059463501,58659000
2007-02-05,5.3333330154418945,5.440000057220459,5.324999809265137,5.394999980926514,4.952540874481201,57990600
2007-02-06,5.516666889190674,5.656667232513428,5.434999942779541,5.586667060852051,5.128488540649414,77538600
2007-02-07,5.631667137145996,5.818333148956299,5.59833288192749,5.804999828338623,5.328913688659668,76105800
2007-02-08,5.716667175292969,5.811666965484619,5.6666669845581055,5.730000019073486,5.260066986083984,72627600
2007-02-09,5.758333206176758,5.806666851043701,5.420000076293945,5.441667079925537,4.995380401611328,93795600
2007-02-12,5.4816670417785645,5.679999828338623,5.423333168029785,5.561666965484619,5.105537414550781,78936000
2007-02-13,5.65166711807251,5.711667060852051,5.59499979019165,5.6666669845581055,5.2019267082214355,84973200
2007-02-14,5.716667175292969,5.75,5.578332901000977,5.591667175292969,5.133077621459961,108184800
2007-02-15,5.5883331298828125,5.6533331871032715,5.534999847412109,5.625,5.1636762619018555,48868200
2007-02-16,5.6016669273376465,5.608333110809326,5.436666965484619,5.453332901000977,5.006087303161621,91506000
2007-02-20,5.461667060852051,5.531667232513428,5.423333168029785,5.501667022705078,5.050459384918213,62557800
2007-02-21,5.456666946411133,5.514999866485596,5.364999771118164,5.420000076293945,4.975490093231201,65533200
2007-02-22,5.505000114440918,5.593332767486572,5.441667079925537,5.454999923706055,5.007618427276611,65545200
2007-02-23,5.506667137145996,5.510000228881836,5.440000057220459,5.441667079925537,4.995380401611328,40305000
2007-02-26,5.456666946411133,5.498332977294922,5.349999904632568,5.358333110809326,4.918880462646484,49407000
2007-02-27,5.300000190734863,5.425000190734863,5.188333034515381,5.196667194366455,4.770472526550293,71463000
2007-02-28,5.181666851043701,5.2783331871032715,5.118332862854004,5.1666669845581055,4.7429327964782715,78004800
2007-03-01,5.054999828338623,5.198332786560059,4.988333225250244,5.103332996368408,4.684792995452881,83722800
2007-03-02,5.058332920074463,5.119999885559082,4.951666831970215,4.961667060852051,4.554746627807617,68272800
2007-03-05,4.875,4.9716668128967285,4.77666711807251,4.793333053588867,4.400217533111572,66355800
2007-03-06,4.8983330726623535,5.131667137145996,4.87833309173584,5.076666831970215,4.660314559936523,80597400
2007-03-07,5.051667213439941,5.074999809265137,4.9116668701171875,4.933332920074463,4.528736114501953,81165600
2007-03-08,5.0366668701171875,5.193333148956299,5.033332824707031,5.136666774749756,4.71539306640625,77062200
